task,regime,split,seed,episode,force_burden,memory_challenge,contact_change,force_limit_margin,true_force_risk,observation_delay,sensor_dropout,oracle_success_estimate
peg_insertion_with_preload,stiction_buildup,nominal_contact,0,0,0.607519,0.710868,0.360368,0.620674,0.330968,-0.003872,0.033464,0.873798
peg_insertion_with_preload,stiction_buildup,nominal_contact,0,1,0.573763,0.753288,0.356754,0.604172,0.340510,-0.003242,0.015223,0.876499
peg_insertion_with_preload,stiction_buildup,nominal_contact,0,2,0.601355,0.730348,0.333095,0.597313,0.318570,-0.008801,0.001000,0.874292
peg_insertion_with_preload,stiction_buildup,nominal_contact,0,3,0.618220,0.734566,0.362514,0.608262,0.349835,0.001629,0.034077,0.872942
peg_insertion_with_preload,stiction_buildup,nominal_contact,0,4,0.544211,0.765951,0.352195,0.635338,0.304157,0.003965,0.024059,0.878863
peg_insertion_with_preload,stiction_buildup,nominal_contact,0,5,0.587959,0.722884,0.383061,0.613769,0.391444,-0.004161,0.035386,0.875363
peg_insertion_with_preload,stiction_buildup,nominal_contact,1,0,0.589604,0.695489,0.354667,0.646135,0.353597,0.018287,0.014072,0.875232
peg_insertion_with_preload,stiction_buildup,nominal_contact,1,1,0.614274,0.732822,0.378879,0.637535,0.342466,0.003770,0.017692,0.873258
peg_insertion_with_preload,stiction_buildup,nominal_contact,1,2,0.643567,0.727909,0.376946,0.654503,0.339590,0.009827,0.042981,0.870915
peg_insertion_with_preload,stiction_buildup,nominal_contact,1,3,0.593748,0.725053,0.391275,0.638265,0.316111,-0.012041,0.020985,0.874900
peg_insertion_with_preload,stiction_buildup,nominal_contact,1,4,0.561208,0.655086,0.344214,0.614268,0.273281,0.000562,0.004607,0.877503
peg_insertion_with_preload,stiction_buildup,nominal_contact,1,5,0.593128,0.711137,0.358347,0.611617,0.353728,0.002304,0.015131,0.874950
peg_insertion_with_preload,stiction_buildup,nominal_contact,2,0,0.574634,0.704581,0.352531,0.596145,0.357268,0.008081,0.014111,0.876429
peg_insertion_with_preload,stiction_buildup,nominal_contact,2,1,0.604276,0.703918,0.361394,0.624785,0.291816,-0.002153,0.004546,0.874058
peg_insertion_with_preload,stiction_buildup,nominal_contact,2,2,0.607824,0.730804,0.346301,0.618088,0.340009,0.014472,0.018495,0.873774
peg_insertion_with_preload,stiction_buildup,nominal_contact,2,3,0.634151,0.712783,0.308431,0.617508,0.371721,-0.009320,0.028909,0.871668
peg_insertion_with_preload,stiction_buildup,nominal_contact,2,4,0.630165,0.701538,0.412516,0.593851,0.394716,-0.006799,0.017219,0.871987
peg_insertion_with_preload,stiction_buildup,nominal_contact,2,5,0.593328,0.716237,0.380321,0.591443,0.298336,-0.007632,0.018400,0.874934
peg_insertion_with_preload,stiction_buildup,nominal_contact,3,0,0.602385,0.662902,0.392100,0.579224,0.283017,-0.007006,0.008161,0.874209
peg_insertion_with_preload,stiction_buildup,nominal_contact,3,1,0.516830,0.743015,0.383514,0.626604,0.299595,0.003314,0.027706,0.881054
peg_insertion_with_preload,stiction_buildup,nominal_contact,3,2,0.604236,0.757133,0.356534,0.642418,0.326043,-0.004635,0.040644,0.874061
peg_insertion_with_preload,stiction_buildup,nominal_contact,3,3,0.606692,0.727495,0.361816,0.613277,0.360755,-0.008237,0.041093,0.873865
peg_insertion_with_preload,stiction_buildup,nominal_contact,3,4,0.608312,0.733365,0.369730,0.579441,0.343308,0.005366,0.039549,0.873735
peg_insertion_with_preload,stiction_buildup,nominal_contact,3,5,0.592373,0.684307,0.380555,0.588101,0.334612,0.000609,0.034251,0.875010
peg_insertion_with_preload,stiction_buildup,nominal_contact,4,0,0.582429,0.721753,0.334095,0.625395,0.337467,-0.001349,0.012914,0.875806
peg_insertion_with_preload,stiction_buildup,nominal_contact,4,1,0.595615,0.701372,0.349634,0.639270,0.290451,-0.004409,0.002282,0.874751
