rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1007/s11760-026-05439-7,ZeroRel: Multimodal Transformer-Guided Zero-Shot Relationship Retrieval for Generalized Scene Graph Generation,2026,"Signal, Image and Video Processing",https://doi.org/10.1007/s11760-026-05439-7,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1109/wacv61041.2025.00220,Scene-LLM: Extending Language Model for 3D Visual Reasoning,2025,2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),https://doi.org/10.1109/wacv61041.2025.00220,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1177/0278364919839761,Semantic–geometric visual place recognition: a new perspective for reconciling opposing views,2022,The International Journal of Robotics Research,https://doi.org/10.1177/0278364919839761,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1109/icra48891.2023.10160403,Surgical-VQLA:Transformer with Gated Vision-Language Embedding for Visual Question Localized-Answering in Robotic Surgery,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra48891.2023.10160403,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1109/wacvw65960.2025.00115,Evaluating Multimodal Vision-Language Model Prompting Strategies for Visual Question Answering in Road Scene Understanding,2025,2025 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW),https://doi.org/10.1109/wacvw65960.2025.00115,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:2211.04785v1,Masked Vision-Language Transformers for Scene Text Recognition,2022,arXiv,http://arxiv.org/abs/2211.04785v1,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.3390/buildings15162970,Evaluating Urban Visual Attractiveness Perception Using Multimodal Large Language Model and Street View Images,2025,Buildings,https://doi.org/10.3390/buildings15162970,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1016/j.patcog.2025.111641,Cross-scene visual context parsing with large vision-language model,2025,Pattern Recognition,https://doi.org/10.1016/j.patcog.2025.111641,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1109/cvpr52688.2022.01516,Unsupervised Vision-Language Parsing: Seamlessly Bridging Visual Scene Graphs with Language Structures via Dependency Relationships,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),https://doi.org/10.1109/cvpr52688.2022.01516,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1609/aaai.v36i5.20536,SGEITL: Scene Graph Enhanced Image-Text Learning for Visual Commonsense Reasoning,2022,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v36i5.20536,Addresses transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Force memory transformers keeps action-critical alternatives explicit until a physical observation collapses them.
